customer_id,customer_name,customer_mobile,frequency
UoaFWnUu6,mark.UoaFWnUu6,+886903023464,8
ncY0LMehl,mark.ncY0LMehl,+886911855188,13
nbSlMC8Xx,ting.nbSlMC8Xx,+886916641473,5
OwrRLtTF7,mark.OwrRLtTF7,+886994460372,3
Jl077Siso,vivian.Jl077Siso,+886942159790,1
wdWgQY6Vf,mark.wdWgQY6Vf,+886965790233,12
wTIpJnVnV,kevin.wTIpJnVnV,+886994962754,9
sNPo18k9R,mark.sNPo18k9R,+886942445460,13
f5TjnZvW0,hank.f5TjnZvW0,+886985502497,13
OBYJftGvp,mark.OBYJftGvp,+886907327748,8
Yxq9cqjMx,vivian.Yxq9cqjMx,+886909140019,0
mzWm4SZwM,mark.mzWm4SZwM,+886925987310,9
hnHeZniTt,hank.hnHeZniTt,+886940049086,19
a18SiVEY2,mark.a18SiVEY2,+886971138695,9
TjUyWw2zN,rex.TjUyWw2zN,+886985876756,16
x6luawE14,hank.x6luawE14,+886919570886,7
zrjJBGcsF,peter.zrjJBGcsF,+886994553971,4
lYjdv6kTO,kevin.lYjdv6kTO,+886939539483,18
AlW7MGkHE,kevin.AlW7MGkHE,+886909730936,1
M1ARhpDFD,ting.M1ARhpDFD,+886918821849,0
MVKuBhTY2,peter.MVKuBhTY2,+886916732327,3
Btogj6Ty3,hank.Btogj6Ty3,+886912130048,11
En2fdsHMD,peter.En2fdsHMD,+886989147974,18
djuMZtUQU,mark.djuMZtUQU,+886910495311,17
y0SFbYDBT,mark.y0SFbYDBT,+886930442875,3
Wi1Dm67iK,ting.Wi1Dm67iK,+886991240542,12
Yh6efHMVo,kevin.Yh6efHMVo,+886905315871,6
pkLiF3EPI,tom.pkLiF3EPI,+886988549846,0
vaetBxggf,hank.vaetBxggf,+886967162710,16
c8Rs7NjIM,peter.c8Rs7NjIM,+886957450580,8
QgwnF4rQ6,ting.QgwnF4rQ6,+886974397627,3
wU8sCr9ai,hank.wU8sCr9ai,+886963903622,6
uF3FE9nR0,kevin.uF3FE9nR0,+886925723298,2
N4xnku6eK,peter.N4xnku6eK,+886916829709,17
okr9C1DFU,ting.okr9C1DFU,+886963037750,12
XN9osKHrI,ting.XN9osKHrI,+886956583996,11
gwGjs5tKy,ting.gwGjs5tKy,+886912161212,5
BsAVOYfeT,mark.BsAVOYfeT,+886992612252,3
pSy9fOoBx,clara.pSy9fOoBx,+886960241986,7
vHzluJp5l,hank.vHzluJp5l,+886955550971,2
poZgpas4Y,peter.poZgpas4Y,+886996842975,16
b09w1bItN,ting.b09w1bItN,+886931518048,13
I5VS44hNf,peter.I5VS44hNf,+886904792206,8
I86oEuEIV,ting.I86oEuEIV,+886928514863,19
zWquiLcGg,peter.zWquiLcGg,+886968171309,8
IRBujA7p5,vivian.IRBujA7p5,+886979386886,17
